mygrep,N,matrix,maxValue,networkType,degree,throughput
mygrep,16,chessboard-16,2.0,static,16,0.7572815533980585
mygrep,16,uniform-16,1.0,static,16,1.0
mygrep,16,permutation-16,16.0,static,16,0.5
mygrep,16,skew-16-0.0,1.0,static,16,1.0
mygrep,16,skew-16-0.1,3.0,static,16,0.9090909090909091
mygrep,16,skew-16-0.2,4.0,static,16,0.8333333333333335
mygrep,16,skew-16-0.3,6.0,static,16,0.7692307692307695
mygrep,16,skew-16-0.4,7.0,static,16,0.7142857142857144
mygrep,16,skew-16-0.5,9.0,static,16,0.6666666666666665
mygrep,16,skew-16-0.6,10.0,static,16,0.6249999999999999
mygrep,16,skew-16-0.7,12.0,static,16,0.5882352941176469
mygrep,16,skew-16-0.8,13.0,static,16,0.5555555555555557
mygrep,16,skew-16-0.9,15.0,static,16,0.5263157894736843
mygrep,16,skew-16-1.0,16.0,static,16,0.5
mygrep,16,data-parallelism,16.0,static,16,0.5666875950391389
mygrep,16,hybrid-parallelism,15.0,static,16,0.7238513560588024
mygrep,16,heatmap2,16.0,static,16,0.6116272399273313
mygrep,16,heatmap3,15.0,static,16,0.6319079585171146
mygrep,16,chessboard-16,2.0,static,14,0.8060731538992408
mygrep,16,uniform-16,1.0,static,14,1.0
mygrep,16,permutation-16,14.0,static,14,0.5178571428571429
mygrep,16,skew-16-0.0,1.0,static,14,1.0
mygrep,16,skew-16-0.1,3.0,static,14,0.9180846853977053
mygrep,16,skew-16-0.2,4.0,static,14,0.8454810495626821
mygrep,16,skew-16-0.3,5.0,static,14,0.7835190813914221
mygrep,16,skew-16-0.4,7.0,static,14,0.7300188797986156
mygrep,16,skew-16-0.5,8.0,static,14,0.6792174234034699
mygrep,16,skew-16-0.6,9.0,static,14,0.6423034330011073
mygrep,16,skew-16-0.7,11.0,static,14,0.6059023243666756
mygrep,16,skew-16-0.8,12.0,static,14,0.5711813067935958
mygrep,16,skew-16-0.9,13.0,static,14,0.54421768707483
mygrep,16,skew-16-1.0,14.0,static,14,0.515625
mygrep,16,data-parallelism,14.0,static,14,0.5980159547714893
mygrep,16,hybrid-parallelism,13.0,static,14,0.7623683302016284
mygrep,16,heatmap2,14.0,static,14,0.6473338901750799
mygrep,16,heatmap3,13.0,static,14,0.6700473440661531
mygrep,16,chessboard-16,2.0,static,12,0.7441860465116279
mygrep,16,uniform-16,1.0,static,12,0.8823529411764706
mygrep,16,permutation-16,12.0,static,12,0.5
mygrep,16,skew-16-0.0,1.0,static,12,0.8888888888888892
mygrep,16,skew-16-0.1,2.0,static,12,0.8538587848932676
mygrep,16,skew-16-0.2,3.0,static,12,0.777777777777778
mygrep,16,skew-16-0.3,5.0,static,12,0.7354685646500593
mygrep,16,skew-16-0.4,6.0,static,12,0.6913845602722551
mygrep,16,skew-16-0.5,7.0,static,12,0.6413502109704641
mygrep,16,skew-16-0.6,8.0,static,12,0.6312399355877616
mygrep,16,skew-16-0.7,9.0,static,12,0.5587359743531026
mygrep,16,skew-16-0.8,10.0,static,12,0.5452185201211597
mygrep,16,skew-16-0.9,11.0,static,12,0.5361050328227571
mygrep,16,skew-16-1.0,12.0,static,12,0.4921875
mygrep,16,data-parallelism,12.0,static,12,0.576707835394828
mygrep,16,hybrid-parallelism,12.0,static,12,0.7342395411892855
mygrep,16,heatmap2,12.0,static,12,0.6454865436111984
mygrep,16,heatmap3,12.0,static,12,0.6445068403561373
mygrep,16,chessboard-16,1.0,static,10,0.7307636363636363
mygrep,16,uniform-16,1.0,static,10,0.8
mygrep,16,permutation-16,10.0,static,10,0.4812500000000001
mygrep,16,skew-16-0.0,1.0,static,10,0.7999999999999998
mygrep,16,skew-16-0.1,2.0,static,10,0.7773896475071472
mygrep,16,skew-16-0.2,3.0,static,10,0.7219512195121954
mygrep,16,skew-16-0.3,4.0,static,10,0.7014613778705636
mygrep,16,skew-16-0.4,5.0,static,10,0.66448087431694
mygrep,16,skew-16-0.5,6.0,static,10,0.6443899282437698
mygrep,16,skew-16-0.6,7.0,static,10,0.5885769603097772
mygrep,16,skew-16-0.7,8.0,static,10,0.5473204104903079
mygrep,16,skew-16-0.8,9.0,static,10,0.5132206328565236
mygrep,16,skew-16-0.9,10.0,static,10,0.4962004518381598
mygrep,16,skew-16-1.0,10.0,static,10,0.4906249999999998
mygrep,16,data-parallelism,10.0,static,10,0.5541992747084687
mygrep,16,hybrid-parallelism,10.0,static,10,0.7087395125010691
mygrep,16,heatmap2,10.0,static,10,0.602029902229393
mygrep,16,heatmap3,10.0,static,10,0.6105739528068014
mygrep,16,chessboard-16,1.0,static,8,0.6904761904761905
mygrep,16,uniform-16,1.0,static,8,0.7272727272727273
mygrep,16,permutation-16,8.0,static,8,0.47112944162436554
mygrep,16,skew-16-0.0,1.0,static,8,0.7272727272727272
mygrep,16,skew-16-0.1,2.0,static,8,0.7147415443522654
mygrep,16,skew-16-0.2,2.0,static,8,0.6609195402298851
mygrep,16,skew-16-0.3,3.0,static,8,0.6288002372831086
mygrep,16,skew-16-0.4,4.0,static,8,0.6058921623123956
mygrep,16,skew-16-0.5,5.0,static,8,0.5945103301300394
mygrep,16,skew-16-0.6,5.0,static,8,0.5400782013685239
mygrep,16,skew-16-0.7,6.0,static,8,0.5338158787604614
mygrep,16,skew-16-0.8,7.0,static,8,0.49095607235142114
mygrep,16,skew-16-0.9,8.0,static,8,0.4668304668304669
mygrep,16,skew-16-1.0,8.0,static,8,0.4644886363636363
mygrep,16,data-parallelism,8.0,static,8,0.5340808535806948
mygrep,16,hybrid-parallelism,8.0,static,8,0.6942701481474798
mygrep,16,heatmap2,8.0,static,8,0.5913465742730197
mygrep,16,heatmap3,8.0,static,8,0.6022807934900507
mygrep,16,chessboard-16,1.0,static,6,0.5671957671957673
mygrep,16,uniform-16,1.0,static,6,0.6153846153846154
mygrep,16,permutation-16,6.0,static,6,0.4585835478028787
mygrep,16,skew-16-0.0,1.0,static,6,0.6632124352331605
mygrep,16,skew-16-0.1,1.0,static,6,0.6684073107049605
mygrep,16,skew-16-0.2,2.0,static,6,0.6596639207023749
mygrep,16,skew-16-0.3,3.0,static,6,0.5881444413554509
mygrep,16,skew-16-0.4,3.0,static,6,0.5310369573017582
mygrep,16,skew-16-0.5,4.0,static,6,0.4925241864555849
mygrep,16,skew-16-0.6,4.0,static,6,0.5185773188573383
mygrep,16,skew-16-0.7,5.0,static,6,0.49724537364034466
mygrep,16,skew-16-0.8,5.0,static,6,0.5035755577441872
mygrep,16,skew-16-0.9,6.0,static,6,0.44744760785570564
mygrep,16,skew-16-1.0,6.0,static,6,0.42708333333333337
mygrep,16,data-parallelism,6.0,static,6,0.49087901850841653
mygrep,16,hybrid-parallelism,6.0,static,6,0.6198363080389774
mygrep,16,heatmap2,6.0,static,6,0.5126971192364117
mygrep,16,heatmap3,6.0,static,6,0.5872272576282997
mygrep,16,chessboard-16,1.0,static,4,0.514883346741754
mygrep,16,uniform-16,1.0,static,4,0.53156146179402
mygrep,16,permutation-16,4.0,static,4,0.405266757865937
mygrep,16,skew-16-0.0,1.0,static,4,0.5283018867924528
mygrep,16,skew-16-0.1,1.0,static,4,0.5257969109431482
mygrep,16,skew-16-0.2,1.0,static,4,0.5524079320113313
mygrep,16,skew-16-0.3,2.0,static,4,0.5148191788271549
mygrep,16,skew-16-0.4,2.0,static,4,0.5375007399514593
mygrep,16,skew-16-0.5,3.0,static,4,0.488981288981289
mygrep,16,skew-16-0.6,3.0,static,4,0.4263173285978869
mygrep,16,skew-16-0.7,3.0,static,4,0.43278055356923256
mygrep,16,skew-16-0.8,4.0,static,4,0.4414991371943474
mygrep,16,skew-16-0.9,4.0,static,4,0.3391718399790675
mygrep,16,skew-16-1.0,4.0,static,4,0.34283819628647216
mygrep,16,data-parallelism,4.0,static,4,0.4587204618974264
mygrep,16,hybrid-parallelism,4.0,static,4,0.5471119980397342
mygrep,16,heatmap2,4.0,static,4,0.49083877757392974
mygrep,16,heatmap3,4.0,static,4,0.4728947254561263
mygrep,16,chessboard-16,2.0,oblivious,16,0.7572815533980585
mygrep,16,uniform-16,1.0,oblivious,16,1.0
mygrep,16,permutation-16,16.0,oblivious,16,0.5
mygrep,16,skew-16-0.0,1.0,oblivious,16,1.0
mygrep,16,skew-16-0.1,3.0,oblivious,16,0.9090909090909091
mygrep,16,skew-16-0.2,4.0,oblivious,16,0.8333333333333335
mygrep,16,skew-16-0.3,6.0,oblivious,16,0.7692307692307695
mygrep,16,skew-16-0.4,7.0,oblivious,16,0.7142857142857144
mygrep,16,skew-16-0.5,9.0,oblivious,16,0.6666666666666665
mygrep,16,skew-16-0.6,10.0,oblivious,16,0.6249999999999999
mygrep,16,skew-16-0.7,12.0,oblivious,16,0.5882352941176469
mygrep,16,skew-16-0.8,13.0,oblivious,16,0.5555555555555557
mygrep,16,skew-16-0.9,15.0,oblivious,16,0.5263157894736843
mygrep,16,skew-16-1.0,16.0,oblivious,16,0.5
mygrep,16,data-parallelism,16.0,oblivious,16,0.5666875950391389
mygrep,16,hybrid-parallelism,15.0,oblivious,16,0.7238513560588024
mygrep,16,heatmap2,16.0,oblivious,16,0.6116272399273313
mygrep,16,heatmap3,15.0,oblivious,16,0.6319079585171146
mygrep,16,chessboard-16,2.0,oblivious,14,0.7572815533980584
mygrep,16,uniform-16,1.0,oblivious,14,1.0
mygrep,16,permutation-16,14.0,oblivious,14,0.5
mygrep,16,skew-16-0.0,1.0,oblivious,14,1.0
mygrep,16,skew-16-0.1,3.0,oblivious,14,0.909090909090909
mygrep,16,skew-16-0.2,4.0,oblivious,14,0.8333333333333331
mygrep,16,skew-16-0.3,5.0,oblivious,14,0.7692307692307692
mygrep,16,skew-16-0.4,7.0,oblivious,14,0.7142857142857142
mygrep,16,skew-16-0.5,8.0,oblivious,14,0.6666666666666666
mygrep,16,skew-16-0.6,9.0,oblivious,14,0.6250000000000001
mygrep,16,skew-16-0.7,11.0,oblivious,14,0.5882352941176473
mygrep,16,skew-16-0.8,12.0,oblivious,14,0.5555555555555554
mygrep,16,skew-16-0.9,13.0,oblivious,14,0.5263157894736842
mygrep,16,skew-16-1.0,14.0,oblivious,14,0.5
mygrep,16,data-parallelism,14.0,oblivious,14,0.5666875950391389
mygrep,16,hybrid-parallelism,13.0,oblivious,14,0.7238513560588024
mygrep,16,heatmap2,14.0,oblivious,14,0.6116272399273311
mygrep,16,heatmap3,13.0,oblivious,14,0.6319079585171146
mygrep,16,chessboard-16,2.0,oblivious,12,0.7572815533980582
mygrep,16,uniform-16,1.0,oblivious,12,1.0
mygrep,16,permutation-16,12.0,oblivious,12,0.5
mygrep,16,skew-16-0.0,1.0,oblivious,12,1.0
mygrep,16,skew-16-0.1,2.0,oblivious,12,0.9090909090909092
mygrep,16,skew-16-0.2,3.0,oblivious,12,0.8333333333333334
mygrep,16,skew-16-0.3,5.0,oblivious,12,0.7692307692307689
mygrep,16,skew-16-0.4,6.0,oblivious,12,0.7142857142857141
mygrep,16,skew-16-0.5,7.0,oblivious,12,0.6666666666666666
mygrep,16,skew-16-0.6,8.0,oblivious,12,0.6249999999999999
mygrep,16,skew-16-0.7,9.0,oblivious,12,0.5882352941176472
mygrep,16,skew-16-0.8,10.0,oblivious,12,0.5555555555555555
mygrep,16,skew-16-0.9,11.0,oblivious,12,0.5263157894736844
mygrep,16,skew-16-1.0,12.0,oblivious,12,0.5
mygrep,16,data-parallelism,12.0,oblivious,12,0.5666875950391389
mygrep,16,hybrid-parallelism,12.0,oblivious,12,0.7238513560588022
mygrep,16,heatmap2,12.0,oblivious,12,0.6116272399273309
mygrep,16,heatmap3,12.0,oblivious,12,0.6319079585171153
mygrep,16,chessboard-16,1.0,oblivious,10,0.7572815533980582
mygrep,16,uniform-16,1.0,oblivious,10,1.0
mygrep,16,permutation-16,10.0,oblivious,10,0.5
mygrep,16,skew-16-0.0,1.0,oblivious,10,1.0
mygrep,16,skew-16-0.1,2.0,oblivious,10,0.9090909090909091
mygrep,16,skew-16-0.2,3.0,oblivious,10,0.8333333333333334
mygrep,16,skew-16-0.3,4.0,oblivious,10,0.7692307692307693
mygrep,16,skew-16-0.4,5.0,oblivious,10,0.7142857142857143
mygrep,16,skew-16-0.5,6.0,oblivious,10,0.6666666666666667
mygrep,16,skew-16-0.6,7.0,oblivious,10,0.625
mygrep,16,skew-16-0.7,8.0,oblivious,10,0.5882352941176471
mygrep,16,skew-16-0.8,9.0,oblivious,10,0.5555555555555556
mygrep,16,skew-16-0.9,10.0,oblivious,10,0.5263157894736842
mygrep,16,skew-16-1.0,10.0,oblivious,10,0.5
mygrep,16,data-parallelism,10.0,oblivious,10,0.5666875950391389
mygrep,16,hybrid-parallelism,10.0,oblivious,10,0.7238513560588022
mygrep,16,heatmap2,10.0,oblivious,10,0.6116272399273311
mygrep,16,heatmap3,10.0,oblivious,10,0.6319079585171146
mygrep,16,chessboard-16,1.0,oblivious,8,0.7572815533980582
mygrep,16,uniform-16,1.0,oblivious,8,1.0
mygrep,16,permutation-16,8.0,oblivious,8,0.5
mygrep,16,skew-16-0.0,1.0,oblivious,8,1.0
mygrep,16,skew-16-0.1,2.0,oblivious,8,0.9090909090909088
mygrep,16,skew-16-0.2,2.0,oblivious,8,0.8333333333333335
mygrep,16,skew-16-0.3,3.0,oblivious,8,0.7692307692307692
mygrep,16,skew-16-0.4,4.0,oblivious,8,0.7142857142857144
mygrep,16,skew-16-0.5,5.0,oblivious,8,0.6666666666666666
mygrep,16,skew-16-0.6,5.0,oblivious,8,0.6249999999999999
mygrep,16,skew-16-0.7,6.0,oblivious,8,0.5882352941176469
mygrep,16,skew-16-0.8,7.0,oblivious,8,0.5555555555555557
mygrep,16,skew-16-0.9,8.0,oblivious,8,0.5263157894736843
mygrep,16,skew-16-1.0,8.0,oblivious,8,0.5
mygrep,16,data-parallelism,8.0,oblivious,8,0.5666875950391388
mygrep,16,hybrid-parallelism,8.0,oblivious,8,0.7238513560588026
mygrep,16,heatmap2,8.0,oblivious,8,0.6116272399273311
mygrep,16,heatmap3,8.0,oblivious,8,0.6319079585171146
mygrep,16,chessboard-16,1.0,oblivious,6,0.7572815533980582
mygrep,16,uniform-16,1.0,oblivious,6,1.0
mygrep,16,permutation-16,6.0,oblivious,6,0.5
mygrep,16,skew-16-0.0,1.0,oblivious,6,1.0
mygrep,16,skew-16-0.1,1.0,oblivious,6,0.9090909090909091
mygrep,16,skew-16-0.2,2.0,oblivious,6,0.8333333333333334
mygrep,16,skew-16-0.3,3.0,oblivious,6,0.7692307692307692
mygrep,16,skew-16-0.4,3.0,oblivious,6,0.7142857142857142
mygrep,16,skew-16-0.5,4.0,oblivious,6,0.6666666666666666
mygrep,16,skew-16-0.6,4.0,oblivious,6,0.6249999999999999
mygrep,16,skew-16-0.7,5.0,oblivious,6,0.5882352941176472
mygrep,16,skew-16-0.8,5.0,oblivious,6,0.5555555555555555
mygrep,16,skew-16-0.9,6.0,oblivious,6,0.5263157894736844
mygrep,16,skew-16-1.0,6.0,oblivious,6,0.5
mygrep,16,data-parallelism,6.0,oblivious,6,0.5666875950391389
mygrep,16,hybrid-parallelism,6.0,oblivious,6,0.7238513560588025
mygrep,16,heatmap2,6.0,oblivious,6,0.611627239927331
mygrep,16,heatmap3,6.0,oblivious,6,0.6319079585171142
mygrep,16,chessboard-16,1.0,oblivious,4,0.7572815533980584
mygrep,16,uniform-16,1.0,oblivious,4,1.0
mygrep,16,permutation-16,4.0,oblivious,4,0.5
mygrep,16,skew-16-0.0,1.0,oblivious,4,1.0
mygrep,16,skew-16-0.1,1.0,oblivious,4,0.9090909090909088
mygrep,16,skew-16-0.2,1.0,oblivious,4,0.8333333333333333
mygrep,16,skew-16-0.3,2.0,oblivious,4,0.7692307692307693
mygrep,16,skew-16-0.4,2.0,oblivious,4,0.7142857142857144
mygrep,16,skew-16-0.5,3.0,oblivious,4,0.6666666666666666
mygrep,16,skew-16-0.6,3.0,oblivious,4,0.6249999999999999
mygrep,16,skew-16-0.7,3.0,oblivious,4,0.5882352941176469
mygrep,16,skew-16-0.8,4.0,oblivious,4,0.5555555555555556
mygrep,16,skew-16-0.9,4.0,oblivious,4,0.5263157894736842
mygrep,16,skew-16-1.0,4.0,oblivious,4,0.5
mygrep,16,data-parallelism,4.0,oblivious,4,0.5666875950391388
mygrep,16,hybrid-parallelism,4.0,oblivious,4,0.7238513560588025
mygrep,16,heatmap2,4.0,oblivious,4,0.6116272399273313
mygrep,16,heatmap3,4.0,oblivious,4,0.6319079585171145
mygrep,16,chessboard-16,2.0,demand-aware-static,16,0.86
mygrep,16,uniform-16,1.0,demand-aware-static,16,1.0
mygrep,16,permutation-16,16.0,demand-aware-static,16,1.0
