mygrep,N,matrix,maxValue,networkType,degree,throughput
mygrep,16,skew-16-0.0,1.0,demand-aware-static,16,1.0
mygrep,16,skew-16-0.1,3.0,demand-aware-static,16,0.98
mygrep,16,skew-16-0.2,4.0,demand-aware-static,16,0.95
mygrep,16,skew-16-0.3,6.0,demand-aware-static,16,0.9
mygrep,16,skew-16-0.4,7.0,demand-aware-static,16,0.87
mygrep,16,skew-16-0.5,9.0,demand-aware-static,16,0.86
mygrep,16,skew-16-0.6,10.0,demand-aware-static,16,0.85
mygrep,16,skew-16-0.7,12.0,demand-aware-static,16,0.86
mygrep,16,skew-16-0.8,13.0,demand-aware-static,16,0.86
mygrep,16,skew-16-0.9,15.0,demand-aware-static,16,0.87
mygrep,16,skew-16-1.0,16.0,demand-aware-static,16,1.0
mygrep,16,data-parallelism,16.0,demand-aware-static,16,0.9299999999999999
mygrep,16,hybrid-parallelism,15.0,demand-aware-static,16,0.94
mygrep,16,heatmap2,16.0,demand-aware-static,16,0.92
mygrep,16,heatmap3,15.0,demand-aware-static,16,0.94
mygrep,16,chessboard-16,2.0,demand-aware-static,14,0.85
mygrep,16,uniform-16,1.0,demand-aware-static,14,1.0
mygrep,16,permutation-16,14.0,demand-aware-static,14,1.0
mygrep,16,skew-16-0.0,1.0,demand-aware-static,14,1.0
mygrep,16,skew-16-0.1,3.0,demand-aware-static,14,0.91
mygrep,16,skew-16-0.2,4.0,demand-aware-static,14,0.87
mygrep,16,skew-16-0.3,5.0,demand-aware-static,14,0.86
mygrep,16,skew-16-0.4,7.0,demand-aware-static,14,0.84
mygrep,16,skew-16-0.5,8.0,demand-aware-static,14,0.84
mygrep,16,skew-16-0.6,9.0,demand-aware-static,14,0.84
mygrep,16,skew-16-0.7,11.0,demand-aware-static,14,0.84
mygrep,16,skew-16-0.8,12.0,demand-aware-static,14,0.84
mygrep,16,skew-16-0.9,13.0,demand-aware-static,14,0.87
mygrep,16,skew-16-1.0,14.0,demand-aware-static,14,1.0
mygrep,16,data-parallelism,14.0,demand-aware-static,14,0.91
mygrep,16,hybrid-parallelism,13.0,demand-aware-static,14,0.9299999999999999
mygrep,16,heatmap2,14.0,demand-aware-static,14,0.9
mygrep,16,heatmap3,13.0,demand-aware-static,14,0.92
mygrep,16,chessboard-16,2.0,demand-aware-static,12,0.8
mygrep,16,uniform-16,1.0,demand-aware-static,12,0.88
mygrep,16,permutation-16,12.0,demand-aware-static,12,1.0
mygrep,16,skew-16-0.0,1.0,demand-aware-static,12,0.88
mygrep,16,skew-16-0.1,2.0,demand-aware-static,12,0.85
mygrep,16,skew-16-0.2,3.0,demand-aware-static,12,0.83
mygrep,16,skew-16-0.3,5.0,demand-aware-static,12,0.8200000000000001
mygrep,16,skew-16-0.4,6.0,demand-aware-static,12,0.81
mygrep,16,skew-16-0.5,7.0,demand-aware-static,12,0.8200000000000001
mygrep,16,skew-16-0.6,8.0,demand-aware-static,12,0.81
mygrep,16,skew-16-0.7,9.0,demand-aware-static,12,0.8200000000000001
mygrep,16,skew-16-0.8,10.0,demand-aware-static,12,0.84
mygrep,16,skew-16-0.9,11.0,demand-aware-static,12,0.85
mygrep,16,skew-16-1.0,12.0,demand-aware-static,12,1.0
mygrep,16,data-parallelism,12.0,demand-aware-static,12,0.91
mygrep,16,hybrid-parallelism,12.0,demand-aware-static,12,0.9
mygrep,16,heatmap2,12.0,demand-aware-static,12,0.87
mygrep,16,heatmap3,12.0,demand-aware-static,12,0.9
mygrep,16,chessboard-16,1.0,demand-aware-static,10,0.77
mygrep,16,uniform-16,1.0,demand-aware-static,10,0.8
mygrep,16,permutation-16,10.0,demand-aware-static,10,1.0
mygrep,16,skew-16-0.0,1.0,demand-aware-static,10,0.79
mygrep,16,skew-16-0.1,2.0,demand-aware-static,10,0.79
mygrep,16,skew-16-0.2,3.0,demand-aware-static,10,0.76
mygrep,16,skew-16-0.3,4.0,demand-aware-static,10,0.77
mygrep,16,skew-16-0.4,5.0,demand-aware-static,10,0.77
mygrep,16,skew-16-0.5,6.0,demand-aware-static,10,0.79
mygrep,16,skew-16-0.6,7.0,demand-aware-static,10,0.78
mygrep,16,skew-16-0.7,8.0,demand-aware-static,10,0.79
mygrep,16,skew-16-0.8,9.0,demand-aware-static,10,0.79
mygrep,16,skew-16-0.9,10.0,demand-aware-static,10,0.8200000000000001
mygrep,16,skew-16-1.0,10.0,demand-aware-static,10,1.0
mygrep,16,data-parallelism,10.0,demand-aware-static,10,0.89
mygrep,16,hybrid-parallelism,10.0,demand-aware-static,10,0.86
mygrep,16,heatmap2,10.0,demand-aware-static,10,0.84
mygrep,16,heatmap3,10.0,demand-aware-static,10,0.86
mygrep,16,chessboard-16,1.0,demand-aware-static,8,0.69
mygrep,16,uniform-16,1.0,demand-aware-static,8,0.71
mygrep,16,permutation-16,8.0,demand-aware-static,8,1.0
mygrep,16,skew-16-0.0,1.0,demand-aware-static,8,0.71
mygrep,16,skew-16-0.1,2.0,demand-aware-static,8,0.72
mygrep,16,skew-16-0.2,2.0,demand-aware-static,8,0.72
mygrep,16,skew-16-0.3,3.0,demand-aware-static,8,0.73
mygrep,16,skew-16-0.4,4.0,demand-aware-static,8,0.72
mygrep,16,skew-16-0.5,5.0,demand-aware-static,8,0.74
mygrep,16,skew-16-0.6,5.0,demand-aware-static,8,0.72
mygrep,16,skew-16-0.7,6.0,demand-aware-static,8,0.75
mygrep,16,skew-16-0.8,7.0,demand-aware-static,8,0.77
mygrep,16,skew-16-0.9,8.0,demand-aware-static,8,0.83
mygrep,16,skew-16-1.0,8.0,demand-aware-static,8,1.0
mygrep,16,data-parallelism,8.0,demand-aware-static,8,0.84
mygrep,16,hybrid-parallelism,8.0,demand-aware-static,8,0.85
mygrep,16,heatmap2,8.0,demand-aware-static,8,0.84
mygrep,16,heatmap3,8.0,demand-aware-static,8,0.81
mygrep,16,chessboard-16,1.0,demand-aware-static,6,0.62
mygrep,16,uniform-16,1.0,demand-aware-static,6,0.63
mygrep,16,permutation-16,6.0,demand-aware-static,6,1.0
mygrep,16,skew-16-0.0,1.0,demand-aware-static,6,0.6599999999999999
mygrep,16,skew-16-0.1,1.0,demand-aware-static,6,0.6499999999999999
mygrep,16,skew-16-0.2,2.0,demand-aware-static,6,0.6699999999999999
mygrep,16,skew-16-0.3,3.0,demand-aware-static,6,0.6499999999999999
mygrep,16,skew-16-0.4,3.0,demand-aware-static,6,0.6499999999999999
mygrep,16,skew-16-0.5,4.0,demand-aware-static,6,0.6799999999999999
mygrep,16,skew-16-0.6,4.0,demand-aware-static,6,0.6699999999999999
mygrep,16,skew-16-0.7,5.0,demand-aware-static,6,0.71
mygrep,16,skew-16-0.8,5.0,demand-aware-static,6,0.7
mygrep,16,skew-16-0.9,6.0,demand-aware-static,6,0.76
mygrep,16,skew-16-1.0,6.0,demand-aware-static,6,1.0
mygrep,16,data-parallelism,6.0,demand-aware-static,6,0.79
mygrep,16,hybrid-parallelism,6.0,demand-aware-static,6,0.81
mygrep,16,heatmap2,6.0,demand-aware-static,6,0.78
mygrep,16,heatmap3,6.0,demand-aware-static,6,0.8
mygrep,16,chessboard-16,1.0,demand-aware-static,4,0.1
mygrep,16,uniform-16,1.0,demand-aware-static,4,0.53
mygrep,16,permutation-16,4.0,demand-aware-static,4,1.0
mygrep,16,skew-16-0.0,1.0,demand-aware-static,4,0.53
mygrep,16,skew-16-0.1,1.0,demand-aware-static,4,0.1
mygrep,16,skew-16-0.2,1.0,demand-aware-static,4,0.1
mygrep,16,skew-16-0.3,2.0,demand-aware-static,4,0.52
mygrep,16,skew-16-0.4,2.0,demand-aware-static,4,0.1
mygrep,16,skew-16-0.5,3.0,demand-aware-static,4,0.5800000000000001
mygrep,16,skew-16-0.6,3.0,demand-aware-static,4,0.54
mygrep,16,skew-16-0.7,3.0,demand-aware-static,4,0.54
mygrep,16,skew-16-0.8,4.0,demand-aware-static,4,0.64
mygrep,16,skew-16-0.9,4.0,demand-aware-static,4,0.64
mygrep,16,skew-16-1.0,4.0,demand-aware-static,4,1.0
mygrep,16,data-parallelism,4.0,demand-aware-static,4,0.6599999999999999
mygrep,16,hybrid-parallelism,4.0,demand-aware-static,4,0.74
mygrep,16,heatmap2,4.0,demand-aware-static,4,0.61
mygrep,16,heatmap3,4.0,demand-aware-static,4,0.75
mygrep,16,chessboard-16,2.0,demand-aware-periodic,16,0.8
mygrep,16,uniform-16,1.0,demand-aware-periodic,16,1.0
mygrep,16,permutation-16,16.0,demand-aware-periodic,16,1.0
mygrep,16,skew-16-0.0,1.0,demand-aware-periodic,16,1.0
mygrep,16,skew-16-0.1,3.0,demand-aware-periodic,16,0.88
mygrep,16,skew-16-0.2,4.0,demand-aware-periodic,16,0.85
mygrep,16,skew-16-0.3,6.0,demand-aware-periodic,16,0.8200000000000001
mygrep,16,skew-16-0.4,7.0,demand-aware-periodic,16,0.8
mygrep,16,skew-16-0.5,9.0,demand-aware-periodic,16,0.79
mygrep,16,skew-16-0.6,10.0,demand-aware-periodic,16,0.8
mygrep,16,skew-16-0.7,12.0,demand-aware-periodic,16,0.8
mygrep,16,skew-16-0.8,13.0,demand-aware-periodic,16,0.8
mygrep,16,skew-16-0.9,15.0,demand-aware-periodic,16,0.8200000000000001
mygrep,16,skew-16-1.0,16.0,demand-aware-periodic,16,1.0
mygrep,16,data-parallelism,16.0,demand-aware-periodic,16,0.86
mygrep,16,hybrid-parallelism,15.0,demand-aware-periodic,16,0.88
mygrep,16,heatmap2,16.0,demand-aware-periodic,16,0.85
mygrep,16,heatmap3,15.0,demand-aware-periodic,16,0.88
mygrep,16,chessboard-16,2.0,demand-aware-periodic,14,0.8
mygrep,16,uniform-16,1.0,demand-aware-periodic,14,1.0
mygrep,16,permutation-16,14.0,demand-aware-periodic,14,1.0
mygrep,16,skew-16-0.0,1.0,demand-aware-periodic,14,1.0
mygrep,16,skew-16-0.1,3.0,demand-aware-periodic,14,0.89
mygrep,16,skew-16-0.2,4.0,demand-aware-periodic,14,0.84
mygrep,16,skew-16-0.3,5.0,demand-aware-periodic,14,0.8200000000000001
mygrep,16,skew-16-0.4,7.0,demand-aware-periodic,14,0.8
mygrep,16,skew-16-0.5,8.0,demand-aware-periodic,14,0.79
mygrep,16,skew-16-0.6,9.0,demand-aware-periodic,14,0.8
mygrep,16,skew-16-0.7,11.0,demand-aware-periodic,14,0.8
mygrep,16,skew-16-0.8,12.0,demand-aware-periodic,14,0.8
mygrep,16,skew-16-0.9,13.0,demand-aware-periodic,14,0.83
mygrep,16,skew-16-1.0,14.0,demand-aware-periodic,14,1.0
mygrep,16,data-parallelism,14.0,demand-aware-periodic,14,0.86
mygrep,16,hybrid-parallelism,13.0,demand-aware-periodic,14,0.88
mygrep,16,heatmap2,14.0,demand-aware-periodic,14,0.85
mygrep,16,heatmap3,13.0,demand-aware-periodic,14,0.88
mygrep,16,chessboard-16,2.0,demand-aware-periodic,12,0.8
mygrep,16,uniform-16,1.0,demand-aware-periodic,12,1.0
mygrep,16,permutation-16,12.0,demand-aware-periodic,12,1.0
mygrep,16,skew-16-0.0,1.0,demand-aware-periodic,12,1.0
mygrep,16,skew-16-0.1,2.0,demand-aware-periodic,12,0.88
mygrep,16,skew-16-0.2,3.0,demand-aware-periodic,12,0.84
mygrep,16,skew-16-0.3,5.0,demand-aware-periodic,12,0.8200000000000001
mygrep,16,skew-16-0.4,6.0,demand-aware-periodic,12,0.8
mygrep,16,skew-16-0.5,7.0,demand-aware-periodic,12,0.8
mygrep,16,skew-16-0.6,8.0,demand-aware-periodic,12,0.8
mygrep,16,skew-16-0.7,9.0,demand-aware-periodic,12,0.8
mygrep,16,skew-16-0.8,10.0,demand-aware-periodic,12,0.81
mygrep,16,skew-16-0.9,11.0,demand-aware-periodic,12,0.83
mygrep,16,skew-16-1.0,12.0,demand-aware-periodic,12,1.0
mygrep,16,data-parallelism,12.0,demand-aware-periodic,12,0.87
mygrep,16,hybrid-parallelism,12.0,demand-aware-periodic,12,0.88
mygrep,16,heatmap2,12.0,demand-aware-periodic,12,0.85
mygrep,16,heatmap3,12.0,demand-aware-periodic,12,0.88
mygrep,16,chessboard-16,1.0,demand-aware-periodic,10,0.8
mygrep,16,uniform-16,1.0,demand-aware-periodic,10,1.0
mygrep,16,permutation-16,10.0,demand-aware-periodic,10,1.0
mygrep,16,skew-16-0.0,1.0,demand-aware-periodic,10,1.0
mygrep,16,skew-16-0.1,2.0,demand-aware-periodic,10,0.88
mygrep,16,skew-16-0.2,3.0,demand-aware-periodic,10,0.84
mygrep,16,skew-16-0.3,4.0,demand-aware-periodic,10,0.8200000000000001
mygrep,16,skew-16-0.4,5.0,demand-aware-periodic,10,0.8
mygrep,16,skew-16-0.5,6.0,demand-aware-periodic,10,0.8
mygrep,16,skew-16-0.6,7.0,demand-aware-periodic,10,0.78
mygrep,16,skew-16-0.7,8.0,demand-aware-periodic,10,0.8
mygrep,16,skew-16-0.8,9.0,demand-aware-periodic,10,0.81
mygrep,16,skew-16-0.9,10.0,demand-aware-periodic,10,0.83
mygrep,16,skew-16-1.0,10.0,demand-aware-periodic,10,1.0
mygrep,16,data-parallelism,10.0,demand-aware-periodic,10,0.86
mygrep,16,hybrid-parallelism,10.0,demand-aware-periodic,10,0.88
mygrep,16,heatmap2,10.0,demand-aware-periodic,10,0.85
mygrep,16,heatmap3,10.0,demand-aware-periodic,10,0.88
mygrep,16,chessboard-16,1.0,demand-aware-periodic,8,0.81
mygrep,16,uniform-16,1.0,demand-aware-periodic,8,1.0
mygrep,16,permutation-16,8.0,demand-aware-periodic,8,1.0
mygrep,16,skew-16-0.0,1.0,demand-aware-periodic,8,1.0
mygrep,16,skew-16-0.1,2.0,demand-aware-periodic,8,0.88
mygrep,16,skew-16-0.2,2.0,demand-aware-periodic,8,0.85
mygrep,16,skew-16-0.3,3.0,demand-aware-periodic,8,0.8200000000000001
mygrep,16,skew-16-0.4,4.0,demand-aware-periodic,8,0.81
mygrep,16,skew-16-0.5,5.0,demand-aware-periodic,8,0.79
mygrep,16,skew-16-0.6,5.0,demand-aware-periodic,8,0.79
mygrep,16,skew-16-0.7,6.0,demand-aware-periodic,8,0.8
mygrep,16,skew-16-0.8,7.0,demand-aware-periodic,8,0.81
mygrep,16,skew-16-0.9,8.0,demand-aware-periodic,8,0.8
mygrep,16,skew-16-1.0,8.0,demand-aware-periodic,8,1.0
mygrep,16,data-parallelism,8.0,demand-aware-periodic,8,0.87
mygrep,16,hybrid-parallelism,8.0,demand-aware-periodic,8,0.88
mygrep,16,heatmap2,8.0,demand-aware-periodic,8,0.85
mygrep,16,heatmap3,8.0,demand-aware-periodic,8,0.88
mygrep,16,chessboard-16,1.0,demand-aware-periodic,6,0.8
mygrep,16,uniform-16,1.0,demand-aware-periodic,6,1.0
mygrep,16,permutation-16,6.0,demand-aware-periodic,6,1.0
mygrep,16,skew-16-0.0,1.0,demand-aware-periodic,6,1.0
mygrep,16,skew-16-0.1,1.0,demand-aware-periodic,6,0.88
mygrep,16,skew-16-0.2,2.0,demand-aware-periodic,6,0.85
mygrep,16,skew-16-0.3,3.0,demand-aware-periodic,6,0.8200000000000001
mygrep,16,skew-16-0.4,3.0,demand-aware-periodic,6,0.8
mygrep,16,skew-16-0.5,4.0,demand-aware-periodic,6,0.79
mygrep,16,skew-16-0.6,4.0,demand-aware-periodic,6,0.8
mygrep,16,skew-16-0.7,5.0,demand-aware-periodic,6,0.8
mygrep,16,skew-16-0.8,5.0,demand-aware-periodic,6,0.8
mygrep,16,skew-16-0.9,6.0,demand-aware-periodic,6,0.83
mygrep,16,skew-16-1.0,6.0,demand-aware-periodic,6,1.0
mygrep,16,data-parallelism,6.0,demand-aware-periodic,6,0.85
mygrep,16,hybrid-parallelism,6.0,demand-aware-periodic,6,0.88
mygrep,16,heatmap2,6.0,demand-aware-periodic,6,0.85
mygrep,16,heatmap3,6.0,demand-aware-periodic,6,0.88
mygrep,16,chessboard-16,1.0,demand-aware-periodic,4,0.8
mygrep,16,uniform-16,1.0,demand-aware-periodic,4,1.0
mygrep,16,permutation-16,4.0,demand-aware-periodic,4,1.0
mygrep,16,skew-16-0.0,1.0,demand-aware-periodic,4,1.0
mygrep,16,skew-16-0.1,1.0,demand-aware-periodic,4,0.89
mygrep,16,skew-16-0.2,1.0,demand-aware-periodic,4,0.85
mygrep,16,skew-16-0.3,2.0,demand-aware-periodic,4,0.8200000000000001
mygrep,16,skew-16-0.4,2.0,demand-aware-periodic,4,0.81
mygrep,16,skew-16-0.5,3.0,demand-aware-periodic,4,0.79
mygrep,16,skew-16-0.6,3.0,demand-aware-periodic,4,0.8
mygrep,16,skew-16-0.7,3.0,demand-aware-periodic,4,0.8
mygrep,16,skew-16-0.8,4.0,demand-aware-periodic,4,0.81
mygrep,16,skew-16-0.9,4.0,demand-aware-periodic,4,0.83
mygrep,16,skew-16-1.0,4.0,demand-aware-periodic,4,1.0
mygrep,16,data-parallelism,4.0,demand-aware-periodic,4,0.85
mygrep,16,hybrid-parallelism,4.0,demand-aware-periodic,4,0.87
mygrep,16,heatmap2,4.0,demand-aware-periodic,4,0.85
mygrep,16,heatmap3,4.0,demand-aware-periodic,4,0.88
